source_rel,site_rel,title,category,ext,size,sha256,excerpt
projects/collaboration-sharepoint.html,evidence-library/preserved-sharepoint/source/projects/collaboration-sharepoint.html,"Collaboration, Teams, SharePoint & OneDrive | Jeremy Fontenot",SharePoint,html,7272,e58001e9dafc381b13b780832fadf7673b735adee5372ae969629d8aa55d63df,"Collaboration, Teams, SharePoint & OneDrive | Jeremy Fontenot Jeremy Fontenot Enterprise lab portfolio Menu Home About Skills Projects Evidence Contact M365 Lab Collaboration, Teams, SharePoint & OneDrive Collaboration..."
docs/business/sharepoint/BrandGuide/BrandGuideHome-f90710c9.html,evidence-library/preserved-sharepoint/source/docs/business/sharepoint/BrandGuide/BrandGuideHome-f90710c9.html,BrandGuideHome,business,html,16194,f2648aebcbda8cf8dd34fa536d3befca71bd1a386a4dffbf002f36a732c1399a,"BrandGuideHome BrandGuideHome Original page: SharePoint tenant unavailable (offline archive mode). Brand Style Guide These standards define the official usage of brand colors, logos, typography, and digital assets...."
docs/business/sharepoint/BrandGuide/BrandGuideHome-cf7720aa-54a0f182.html,evidence-library/preserved-sharepoint/source/docs/business/sharepoint/BrandGuide/BrandGuideHome-cf7720aa-54a0f182.html,BrandGuideHome,business,html,16194,f2648aebcbda8cf8dd34fa536d3befca71bd1a386a4dffbf002f36a732c1399a,"BrandGuideHome BrandGuideHome Original page: SharePoint tenant unavailable (offline archive mode). Brand Style Guide These standards define the official usage of brand colors, logos, typography, and digital assets...."
docs/business/sharepoint/BrandGuide/Brand-Guidelines-5d823a70-a67b2e35.html,evidence-library/preserved-sharepoint/source/docs/business/sharepoint/BrandGuide/Brand-Guidelines-5d823a70-a67b2e35.html,Brand-Guidelines,business,html,5354,5ccc6c46aa5900573945805203a9ca91dad1cf05b0585008df0a19cc3ce34b2e,Brand-Guidelines Brand-Guidelines Original page: SharePoint tenant unavailable (offline archive mode). Local Brand Guideline References These are the local source files for the archived Brand Guidelines document...
docs/business/sharepoint/BrandGuide/Brand-Guidelines-bc73f793.html,evidence-library/preserved-sharepoint/source/docs/business/sharepoint/BrandGuide/Brand-Guidelines-bc73f793.html,Brand-Guidelines,business,html,5354,5ccc6c46aa5900573945805203a9ca91dad1cf05b0585008df0a19cc3ce34b2e,Brand-Guidelines Brand-Guidelines Original page: SharePoint tenant unavailable (offline archive mode). Local Brand Guideline References These are the local source files for the archived Brand Guidelines document...
docs/business/sharepoint/Architecture/Architecture-Overview-20260511161108-fea65063.html,evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Architecture/Architecture-Overview-20260511161108-fea65063.html,Architecture Overview,business,html,2796,d4142bf8a9d593226cb29e7eb001cd0866ecff72680e485cd7b720c24e2c0def,"Architecture Overview Architecture Overview Original page: SharePoint tenant unavailable (offline archive mode). Architecture OverviewThis page documents the lab setup, automation, validation steps, and artifacts for..."
docs/business/sharepoint/Architecture/Architecture-Overview-ee08773b.html,evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Architecture/Architecture-Overview-ee08773b.html,Architecture Overview,business,html,2796,d4142bf8a9d593226cb29e7eb001cd0866ecff72680e485cd7b720c24e2c0def,"Architecture Overview Architecture Overview Original page: SharePoint tenant unavailable (offline archive mode). Architecture OverviewThis page documents the lab setup, automation, validation steps, and artifacts for..."
docs/business/sharepoint/Architecture/architecture-and-topology-76e91ed4.html,evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Architecture/architecture-and-topology-76e91ed4.html,Home Lab Architecture and Topology,business,html,2665,a186bce2479878a99ee0beb0b8774d180b8f5f391e006faf48b8e5de72c730e1,Home Lab Architecture and Topology Architecture and Topology Back to Home Lab Documentation Hub Lab Domain: ad.jeremyfontenot.online Host Platform: Proxmox on Dell R710 Edge Security: pfSense + IDS/IPS (Suricata/Snort)...
docs/business/sharepoint/Architecture/Architecture-20260511161108-0d88cb53.html,evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Architecture/Architecture-20260511161108-0d88cb53.html,Lab Architecture Overview,business,html,5013,18e321980c59cef9c01c2f924cc28febf84726559181a74b5ced2024fce99db3,Lab Architecture Overview Lab Architecture Overview Original page: SharePoint tenant unavailable (offline archive mode). Lab Architecture OverviewInitial scaffold generated via automation. Lab Architecture Overview...
docs/business/sharepoint/Architecture/Architecture-90082f35.html,evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Architecture/Architecture-90082f35.html,Lab Architecture Overview,business,html,5013,18e321980c59cef9c01c2f924cc28febf84726559181a74b5ced2024fce99db3,Lab Architecture Overview Lab Architecture Overview Original page: SharePoint tenant unavailable (offline archive mode). Lab Architecture OverviewInitial scaffold generated via automation. Lab Architecture Overview...
