"ActivityDateTime","ActivityDisplayName","AdditionalDetails","Category","CorrelationId","Id","InitiatedBy","LoggedByService","OperationType","Result","ResultReason","TargetResources","AdditionalProperties"
"6/5/2026 9:14:08 AM","Consent to application","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","ApplicationManagement","44d2f521-a6b3-4385-a618-4c3470bcff0d","Directory_44d2f521-a6b3-4385-a618-4c3470bcff0d_AYFOC_671542","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Assign","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"6/5/2026 9:14:08 AM","Remove delegated permission grant","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","ApplicationManagement","44d2f521-a6b3-4385-a618-4c3470bcff0d","Directory_44d2f521-a6b3-4385-a618-4c3470bcff0d_AYFOC_671529","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Unassign","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"6/5/2026 9:14:08 AM","Add delegated permission grant","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","ApplicationManagement","44d2f521-a6b3-4385-a618-4c3470bcff0d","Directory_44d2f521-a6b3-4385-a618-4c3470bcff0d_AYFOC_671516","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Assign","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"6/5/2026 8:52:46 AM","Validate user authentication","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","Authentication","70984332-e322-4c81-99fa-887486a910d1","B2C_70984332-e322-4c81-99fa-887486a910d1_53598f56-182f-4762-bd05-4586973fb766_134251231668836550","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","B2C","Read","success","Token is valid","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"6/5/2026 8:44:57 AM","Settings_GetSettingsAsync","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","GroupManagement","e8671e81-ec7e-48c9-b56d-fdad10a76d25","SSGM_e8671e81-ec7e-48c9-b56d-fdad10a76d25_Y4QTH_417063330","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Self-service Group Management","Update","success","OK","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"6/5/2026 8:44:27 AM","Settings_GetSettingsAsync","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","GroupManagement","f10bb3ff-e4e3-43d1-9e32-fd17a87b1d16","SSGM_f10bb3ff-e4e3-43d1-9e32-fd17a87b1d16_CR77T_435931474","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Self-service Group Management","Update","success","OK","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"6/5/2026 8:44:18 AM","Approval_GetAll","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","GroupManagement","5e82fe70-9d17-4178-95cc-29ae768df3cc","SSGM_5e82fe70-9d17-4178-95cc-29ae768df3cc_MT88I_357332186","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Self-service Group Management","Update","success","OK","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"6/5/2026 8:44:17 AM","Settings_GetSettingsAsync","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","GroupManagement","66caec62-8bac-4e60-8398-25b16e75937e","SSGM_66caec62-8bac-4e60-8398-25b16e75937e_GORHR_447375278","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Self-service Group Management","Update","success","OK","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"6/5/2026 8:44:17 AM","Settings_GetSettingsAsync","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","GroupManagement","d7f4820a-b082-421a-b713-35ddce0239d0","SSGM_d7f4820a-b082-421a-b713-35ddce0239d0_HNDZ9_966097","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Self-service Group Management","Update","success","OK","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"6/5/2026 8:43:54 AM","User deleted security info","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","UserManagement","2dce4148-6178-4d5a-8502-308972501771","Authentication Methods_2dce4148-6178-4d5a-8502-308972501771_6TNUS_29870809","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Authentication Methods","ServiceApi","clientError","User failed to re-register one or many MFA authentication methods.","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
