"EvidenceFolder","FileName","SizeKB","SHA256","RelativePath"
"entra-activity-proof-20260605-043730","activity-export-errors.csv","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\activity-export-errors.csv"
"entra-activity-proof-20260605-043730","directory-audits-recent.csv","18.02","B07A43A29A871269DF5393A0674883DE9491F0F5821463E490FB6B32AC33E1F3","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\directory-audits-recent.csv"
"entra-activity-proof-20260605-043730","directory-audits-recent.json","79.96","461B3E81B45229B3858B35BD6479744A117DA188DDE51D9CC12F7F97206FB482","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\directory-audits-recent.json"
"entra-activity-proof-20260605-043730","entra-activity-proof-summary.json","0.33","9A78B3EE9D1ADC979C81A64385B1BFA48A65F3D0E097FD219821318553DF948A","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\entra-activity-proof-summary.json"
"entra-activity-proof-20260605-043730","entra-activity-proof-transcript-20260605-043730.txt","2.33","73BBBA3B24D2AD9D5AEB72ADEABE393A50F1C3F712F24A16249650C9392CB3F8","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\entra-activity-proof-transcript-20260605-043730.txt"
"entra-activity-proof-20260605-043730","README.md","0.98","F3F92341EFCF732E0A554058B028A174C6D1154F24EA5C4A541F723C04055581","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\README.md"
"entra-activity-proof-20260605-043730","sign-ins-recent.csv","55.32","C2FDEF62919797921C7A22A55C27EFBB7DE97A7ADD4FCED1EF09CDDE2CBC8F2B","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\sign-ins-recent.csv"
"entra-activity-proof-20260605-043730","sign-ins-recent.json","134.07","84F3611A53C0E4B15B4DA360CCC9D5959C6D4A8ABA17FFBE91A7C57B5CB0EAA8","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\sign-ins-recent.json"
"entra-application-proof-20260605-063206","app-registrations-summary.csv","1.01","519AB74B9E11ABC0B9835CBC60AE7A7A9E0220BD614359F2F32AF9C5C72688CF","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\app-registrations-summary.csv"
"entra-application-proof-20260605-063206","app-registrations.json","31.16","8F008FA3BAC340D6D35C0D19837143C72E433D5B3BB136EB6E65AB1EE0559AC9","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\app-registrations.json"
"entra-application-proof-20260605-063206","application-export-errors.csv","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\application-export-errors.csv"
"entra-application-proof-20260605-063206","enterprise-applications-service-principals.json","574.5","3805B6D729980974528F358BDD619C38C7CDC534840E72FFE1FBD00A25C2252F","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\enterprise-applications-service-principals.json"
"entra-application-proof-20260605-063206","enterprise-applications-summary.csv","21.99","18828DA53FCB72892F4D9025C0FD11C426D6393193B5B91FDDD8F1465E239F88","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\enterprise-applications-summary.csv"
"entra-application-proof-20260605-063206","entra-application-proof-summary.json","0.37","4AA61C995CDDD6DA6E5A51C4C4F8FAD1142030531609DFCD5F097EC7F4C16198","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\entra-application-proof-summary.json"
"entra-application-proof-20260605-063206","entra-application-proof-transcript-20260605-063206.txt","2.52","1BE683CB7E0B74998C7D55B7840F906D06CE2CAF1B3063741B35A84B02C42B80","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\entra-application-proof-transcript-20260605-063206.txt"
"entra-application-proof-20260605-063206","oauth2-permission-grants-summary.csv","3.56","950EA8C23854F1069DE60EFFC82FDB44C3B6894E298A8AE7AFC74FAA286235CA","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\oauth2-permission-grants-summary.csv"
