"EvidenceFolder","FileName","SizeKB","LastWriteTime","RelativePath"
"entra-activity-proof-20260605-043730","activity-export-errors.csv","0","6/5/2026 4:38:17 AM","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\activity-export-errors.csv"
"entra-activity-proof-20260605-043730","directory-audits-recent.csv","18.02","6/5/2026 4:37:33 AM","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\directory-audits-recent.csv"
"entra-activity-proof-20260605-043730","directory-audits-recent.json","79.96","6/5/2026 4:37:33 AM","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\directory-audits-recent.json"
"entra-activity-proof-20260605-043730","entra-activity-proof-summary.json","0.33","6/5/2026 4:38:17 AM","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\entra-activity-proof-summary.json"
"entra-activity-proof-20260605-043730","entra-activity-proof-transcript-20260605-043730.txt","2.33","6/5/2026 4:38:17 AM","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\entra-activity-proof-transcript-20260605-043730.txt"
"entra-activity-proof-20260605-043730","README.md","0.98","6/5/2026 4:38:17 AM","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\README.md"
"entra-activity-proof-20260605-043730","sign-ins-recent.csv","55.32","6/5/2026 4:38:17 AM","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\sign-ins-recent.csv"
"entra-activity-proof-20260605-043730","sign-ins-recent.json","134.07","6/5/2026 4:38:17 AM","evidence-library\projects\microsoft-365-lab\entra-activity-proof-20260605-043730\sign-ins-recent.json"
"entra-application-proof-20260605-063206","app-registrations-summary.csv","1.01","6/5/2026 6:32:07 AM","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\app-registrations-summary.csv"
"entra-application-proof-20260605-063206","app-registrations.json","31.16","6/5/2026 6:32:07 AM","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\app-registrations.json"
"entra-application-proof-20260605-063206","application-export-errors.csv","0","6/5/2026 6:32:08 AM","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\application-export-errors.csv"
"entra-application-proof-20260605-063206","enterprise-applications-service-principals.json","574.5","6/5/2026 6:32:08 AM","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\enterprise-applications-service-principals.json"
"entra-application-proof-20260605-063206","enterprise-applications-summary.csv","21.99","6/5/2026 6:32:08 AM","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\enterprise-applications-summary.csv"
"entra-application-proof-20260605-063206","entra-application-proof-summary.json","0.37","6/5/2026 6:32:08 AM","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\entra-application-proof-summary.json"
"entra-application-proof-20260605-063206","entra-application-proof-transcript-20260605-063206.txt","2.52","6/5/2026 6:32:08 AM","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\entra-application-proof-transcript-20260605-063206.txt"
"entra-application-proof-20260605-063206","oauth2-permission-grants-summary.csv","3.56","6/5/2026 6:32:08 AM","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\oauth2-permission-grants-summary.csv"
"entra-application-proof-20260605-063206","oauth2-permission-grants.json","6.62","6/5/2026 6:32:08 AM","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\oauth2-permission-grants.json"
"entra-application-proof-20260605-063206","README.md","1.12","6/5/2026 6:32:08 AM","evidence-library\projects\microsoft-365-lab\entra-application-proof-20260605-063206\README.md"
"entra-device-proof-20260605-043942","device-export-errors.csv","0","6/5/2026 4:39:47 AM","evidence-library\projects\microsoft-365-lab\entra-device-proof-20260605-043942\device-export-errors.csv"
"entra-device-proof-20260605-043942","entra-device-proof-summary.json","0.34","6/5/2026 4:39:47 AM","evidence-library\projects\microsoft-365-lab\entra-device-proof-20260605-043942\entra-device-proof-summary.json"
"entra-device-proof-20260605-043942","entra-device-proof-transcript-20260605-043942.txt","4.49","6/5/2026 4:39:47 AM","evidence-library\projects\microsoft-365-lab\entra-device-proof-20260605-043942\entra-device-proof-transcript-20260605-043942.txt"
"entra-device-proof-20260605-043942","entra-directory-devices.csv","1.19","6/5/2026 4:39:47 AM","evidence-library\projects\microsoft-365-lab\entra-device-proof-20260605-043942\entra-directory-devices.csv"
"entra-device-proof-20260605-043942","entra-directory-devices.json","2.49","6/5/2026 4:39:47 AM","evidence-library\projects\microsoft-365-lab\entra-device-proof-20260605-043942\entra-directory-devices.json"
"entra-device-proof-20260605-043942","intune-managed-devices.csv","0","6/5/2026 4:39:47 AM","evidence-library\projects\microsoft-365-lab\entra-device-proof-20260605-043942\intune-managed-devices.csv"
"entra-device-proof-20260605-043942","intune-managed-devices.json","0","6/5/2026 4:39:47 AM","evidence-library\projects\microsoft-365-lab\entra-device-proof-20260605-043942\intune-managed-devices.json"
"entra-device-proof-20260605-043942","README.md","1.15","6/5/2026 4:39:47 AM","evidence-library\projects\microsoft-365-lab\entra-device-proof-20260605-043942\README.md"
"entra-group-membership-proof-20260605-063604","entra-group-membership-proof-summary.json","0.33","6/5/2026 6:36:08 AM","evidence-library\projects\microsoft-365-lab\entra-group-membership-proof-20260605-063604\entra-group-membership-proof-summary.json"
