"Path","LineNumber","Line"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\architecture-diagrams\vlan-architecture-diagram-README.md","63","- Switch Port Map: `../network/network-infrastructure-validation-report-2026.md`"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\architecture-diagrams\vlan-architecture-diagram-README.md","64","- pfSense VLAN Interface Export: `../network/network-infrastructure-validation-report-2026.md`"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\architecture-diagrams\vlan-architecture-diagram-README.md","66","- DHCP Scope Mapping: `../network/dhcp-dns-validation-report-2026.md`"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\architecture-diagrams\vlan-architecture-diagram-README.md","67","- Firewall Rule Review: `../network/firewall-rule-validation-report-2026.md`"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\integrity\evidence-hashes.json","171","    ""path"": ""evidence-library\\incidents\\dns-resolution-outage-incident-summary-2026.md"","
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\integrity\evidence-hashes.json","177","    ""path"": ""evidence-library\\network\\dhcp-dns-validation-report-2026.md"","
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\integrity\evidence-hashes.json","183","    ""path"": ""evidence-library\\network\\firewall-rule-validation-report-2026.md"","
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\integrity\evidence-hashes.json","189","    ""path"": ""evidence-library\\network\\network-infrastructure-validation-report-2026.md"","
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\projects\infrastructure-networking\vlan-architecture-walkthrough-2026.md","317","| [Switch Port Map](../../network/network-infrastructure-validation-report-2026.md) | Documents physical switch relationships and port mode intent. | pfSense trunk, Proxmox management, Proxmox VM trunk, Windows Server access, Wireless AP trunk. | Physical traceability improves troubleshooting and reduces guesswork during changes. | Network documentation, Layer 1/Layer 2 troubleshooting, port mapping. |"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\projects\infrastructure-networking\vlan-architecture-walkthrough-2026.md","318","| [pfSense VLAN Interface Export](../../network/network-infrastructure-validation-report-2026.md) | Captures the VLAN interface model and gateway role. | WAN, LAN parent, VLAN gateways, firewall enforcement point, routing boundaries. | Interface evidence supports segmentation review and firewall policy validation. | pfSense administration, routing, VLAN design. |"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\projects\infrastructure-networking\vlan-architecture-walkthrough-2026.md","320","| [DHCP Scope Mapping](../../network/dhcp-dns-validation-report-2026.md) | Defines ownership for trusted and untrusted address assignment. | Windows Server DHCP for VLAN 20/30 and pfSense DHCP for VLAN 40/50. | Clear DHCP ownership prevents conflicting scopes and speeds lease troubleshooting. | DHCP administration, DNS/DHCP operations, service ownership. |"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\projects\infrastructure-networking\vlan-architecture-walkthrough-2026.md","321","| [Firewall Rule Review](../../network/firewall-rule-validation-report-2026.md) | Preserves firewall policy intent and segmentation behavior. | Allowed paths, blocked paths, guest isolation, IoT isolation, and administrative separation. | Firewall policy is the enforcement layer behind VLAN design. | Firewall management, security fundamentals, rule review. |"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\projects\infrastructure-networking\vlan-architecture-walkthrough-2026.md","422","- [Network Validation Lab Notes](../../network/network-infrastructure-validation-report-2026.md)"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\projects\infrastructure-networking\vlan-architecture-walkthrough-2026.md","423","- [Firewall Rule Evidence](../../network/firewall-rule-validation-report-2026.md)"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\projects\infrastructure-networking\vlan-architecture-walkthrough-2026.md","424","- [DHCP and DNS Evidence](../../network/dhcp-dns-validation-report-2026.md)"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\index.html","128","          <div class=""project-links""><a href=""./network/network-infrastructure-validation-report-2026.md"">Open Evidence</a></div>"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\index.html","135","          <div class=""project-links""><a href=""./network/dhcp-dns-validation-report-2026.md"">Open Evidence</a></div>"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\index.html","142","          <div class=""project-links""><a href=""./network/firewall-rule-validation-report-2026.md"">Open Evidence</a></div>"
"C:\Users\jeremy\Documents\projects\jeremyfontenot\evidence-library\index.html","170","          <div class=""project-links""><a href=""./incidents/dns-resolution-outage-incident-summary-2026.md"">Open Evidence</a></div>"

